iter	Passed	Remaining
0	12	2536
1	17	1706
2	21	1419
3	26	1312
4	31	1209
5	36	1164
6	40	1118
7	44	1071
8	49	1052
9	53	1022
10	58	1002
11	62	979
12	66	959
13	70	939
14	76	940
15	81	937
16	85	919
17	91	927
18	99	945
19	103	928
20	107	920
21	112	908
22	116	896
23	120	884
24	124	872
25	129	864
26	132	852
27	137	842
28	141	832
29	145	821
30	148	811
31	153	804
32	157	794
33	161	787
34	165	782
35	170	776
36	174	770
37	178	762
38	183	759
39	187	750
40	191	743
41	194	733
42	199	726
43	202	718
44	206	712
45	211	706
46	217	707
47	231	733
48	241	745
49	246	739
50	251	735
51	256	729
52	261	724
53	266	719
54	270	712
55	275	708
56	279	701
57	283	693
58	287	686
59	293	683
60	298	679
61	302	674
62	307	669
63	312	664
64	316	656
65	320	650
66	323	642
67	328	636
68	331	629
69	336	624
70	339	616
71	344	611
72	348	606
73	352	600
74	356	594
75	361	589
76	365	584
77	373	584
78	381	584
79	387	581
80	391	574
81	395	569
82	400	564
83	404	558
84	409	554
85	413	548
86	417	542
87	422	537
88	428	534
89	432	528
90	436	522
91	441	518
92	445	512
93	449	507
94	454	502
95	459	498
96	463	492
97	469	488
98	474	484
99	479	479
100	486	476
101	495	475
102	502	473
103	508	469
104	515	466
105	520	461
106	524	455
107	528	450
108	533	445
109	538	440
110	543	435
111	547	430
112	552	425
113	556	419
114	561	415
115	566	410
116	570	404
117	574	399
118	581	395
119	587	391
120	604	394
121	615	393
122	620	388
123	633	388
124	641	385
125	649	381
126	660	379
127	666	375
128	676	372
129	684	368
130	692	364
131	700	360
132	704	355
133	708	349
134	713	343
135	719	338
136	724	333
137	731	328
138	736	323
139	740	317
140	746	312
141	751	307
142	756	301
143	761	296
144	766	290
145	770	284
146	774	279
147	778	273
148	783	268
149	788	262
150	793	257
151	797	251
152	801	246
153	807	241
154	812	235
155	817	230
156	822	225
157	831	220
158	838	216
159	848	212
160	855	207
161	861	202
162	874	198
163	883	193
164	889	188
165	893	182
166	899	177
167	904	172
168	908	166
169	913	161
170	917	155
171	922	150
172	925	144
173	931	139
174	935	133
175	940	128
176	945	122
177	949	117
178	952	111
179	956	106
180	960	100
181	964	95
182	968	89
183	972	84
184	976	79
185	979	73
186	984	68
187	988	63
188	992	57
189	997	52
190	1001	47
191	1004	41
192	1008	36
193	1012	31
194	1017	26
195	1021	20
196	1028	15
197	1036	10
198	1040	5
199	1044	0
